plate_score,region_score,start_direction,end_direction,hour,is_weekend,month,daily_visits,lag_7,lag_14,lag_30,rolling_7,is_holiday,is_long_weekend,is_local,days_since_first_visit,client_lifetime_visits,client_active_days_last_30d,client_weekend_frac_last_90d,avg_gap_days,std_gap_days,is_weekly_visitor,is_monthly_visitor,daily_visits
0.953,0.667,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,2.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.99,0.869,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,3.0,0.5,2.0,0.816496580927726,1,0,3374.0
0.997,0.835,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.773,0.563,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.996,0.892,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,14.0,5.0,0.0,1.2,0.4,1,0,3374.0
0.837,0.232,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.712,0.921,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.997,0.896,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.993,0.644,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.736,0.117,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.838,0.74,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.82,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,1.0,1.0,0.0,4.0,0.0,1,0,3374.0
1.0,0.925,150.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.97,0.801,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.933,0.512,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.967,0.355,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.886,0.842,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.99,0.235,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.984,0.905,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.972,0.85,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.994,0.849,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,3.0,0.25,2.0,0.816496580927726,1,0,3374.0
0.824,0.551,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.442,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.979,0.851,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,1.0,1.0,0.0,4.0,0.0,1,0,3374.0
0.903,0.568,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.899,0.279,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,5.0,4.0,0.4,1.25,0.4330127018922193,1,0,3374.0
0.985,0.896,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,4.0,0.0,1.5,0.5,1,0,3374.0
0.864,0.55,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.964,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.993,0.945,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.888,0.322,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.587,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.968,0.52,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,2.0,2.0,0.5,2.0,1.0,1,0,3374.0
0.995,0.56,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,2,2.0,2.0,0.5,1.0,0.0,1,0,3374.0
0.997,0.156,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,3.0,3.0,0.3333333333333333,1.3333333333333333,0.4714045207910317,1,0,3374.0
0.855,0.06,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.756,0.105,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.977,0.179,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.909,0.954,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.872,0.909,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.865,0.956,66.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.883,0.05,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,7.0,4.0,0.2857142857142857,1.25,0.4330127018922193,1,0,3374.0
0.998,0.844,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.854,0.08,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
